Source,Target,Weight,edge_type,edge_multiplicity
76,82,1,same_transcript_answer,1
76,85,1,same_transcript_answer,1
79,82,1,same_transcript_answer,1
79,85,1,same_transcript_answer,1
82,85,1,same_transcript_answer,1
3,12,1,same_transcript_reason,1
3,14,1,same_transcript_reason,1
3,35,1,same_transcript_reason,1
3,50,1,same_transcript_reason,1
3,51,1,same_transcript_reason,1
3,62,1,same_transcript_reason,1
12,14,1,same_transcript_reason,1
12,35,1,same_transcript_reason,1
12,50,1,same_transcript_reason,1
12,51,1,same_transcript_reason,1
12,62,1,same_transcript_reason,1
14,35,1,same_transcript_reason,1
14,50,1,same_transcript_reason,1
14,51,1,same_transcript_reason,1
14,62,1,same_transcript_reason,1
35,50,1,same_transcript_reason,1
35,51,1,same_transcript_reason,1
35,62,1,same_transcript_reason,1
50,51,1,same_transcript_reason,1
50,62,1,same_transcript_reason,1
51,62,1,same_transcript_reason,1
5,37,1,same_transcript_reason,1
5,38,1,same_transcript_reason,1
5,53,1,same_transcript_reason,1
5,54,1,same_transcript_reason,1
5,64,1,same_transcript_reason,1
5,65,1,same_transcript_reason,1
37,38,1,same_transcript_reason,1
37,53,1,same_transcript_reason,1
37,54,1,same_transcript_reason,1
37,64,1,same_transcript_reason,1
37,65,1,same_transcript_reason,1
38,53,1,same_transcript_reason,1
38,54,1,same_transcript_reason,1
38,64,1,same_transcript_reason,1
38,65,1,same_transcript_reason,1
53,54,2,same_transcript_reason,2
53,64,1,same_transcript_reason,1
53,65,1,same_transcript_reason,1
54,64,1,same_transcript_reason,1
54,65,1,same_transcript_reason,1
64,65,1,same_transcript_reason,1
7,20,1,same_transcript_reason,1
7,22,1,same_transcript_reason,1
7,39,1,same_transcript_reason,1
7,40,1,same_transcript_reason,1
7,56,1,same_transcript_reason,1
7,57,1,same_transcript_reason,1
7,67,1,same_transcript_reason,1
7,68,1,same_transcript_reason,1
20,22,1,same_transcript_reason,1
20,39,1,same_transcript_reason,1
20,40,1,same_transcript_reason,1
20,56,1,same_transcript_reason,1
20,57,1,same_transcript_reason,1
20,67,1,same_transcript_reason,1
20,68,1,same_transcript_reason,1
22,39,1,same_transcript_reason,1
22,40,1,same_transcript_reason,1
22,56,1,same_transcript_reason,1
22,57,1,same_transcript_reason,1
22,67,1,same_transcript_reason,1
22,68,1,same_transcript_reason,1
39,40,1,same_transcript_reason,1
39,56,1,same_transcript_reason,1
39,57,1,same_transcript_reason,1
39,67,1,same_transcript_reason,1
39,68,1,same_transcript_reason,1
40,56,1,same_transcript_reason,1
40,57,1,same_transcript_reason,1
40,67,1,same_transcript_reason,1
40,68,1,same_transcript_reason,1
56,57,1,same_transcript_reason,1
56,67,1,same_transcript_reason,1
56,68,1,same_transcript_reason,1
57,67,1,same_transcript_reason,1
57,68,1,same_transcript_reason,1
67,68,1,same_transcript_reason,1
9,24,1,same_transcript_reason,1
9,26,1,same_transcript_reason,1
9,28,1,same_transcript_reason,1
9,30,1,same_transcript_reason,1
9,32,1,same_transcript_reason,1
9,42,1,same_transcript_reason,1
9,43,1,same_transcript_reason,1
9,45,1,same_transcript_reason,1
9,51,1,same_transcript_reason,1
9,58,1,same_transcript_reason,1
9,69,1,same_transcript_reason,1
9,70,1,same_transcript_reason,1
9,71,1,same_transcript_reason,1
24,26,1,same_transcript_reason,1
24,28,1,same_transcript_reason,1
24,30,1,same_transcript_reason,1
24,32,1,same_transcript_reason,1
24,42,1,same_transcript_reason,1
24,43,1,same_transcript_reason,1
24,45,1,same_transcript_reason,1
24,51,1,same_transcript_reason,1
24,58,1,same_transcript_reason,1
24,69,1,same_transcript_reason,1
24,70,1,same_transcript_reason,1
24,71,1,same_transcript_reason,1
26,28,1,same_transcript_reason,1
26,30,1,same_transcript_reason,1
26,32,1,same_transcript_reason,1
26,42,1,same_transcript_reason,1
26,43,1,same_transcript_reason,1
26,45,1,same_transcript_reason,1
26,51,1,same_transcript_reason,1
26,58,1,same_transcript_reason,1
26,69,1,same_transcript_reason,1
26,70,1,same_transcript_reason,1
26,71,1,same_transcript_reason,1
28,30,1,same_transcript_reason,1
28,32,1,same_transcript_reason,1
28,42,1,same_transcript_reason,1
28,43,1,same_transcript_reason,1
28,45,1,same_transcript_reason,1
28,51,1,same_transcript_reason,1
28,58,1,same_transcript_reason,1
28,69,1,same_transcript_reason,1
28,70,1,same_transcript_reason,1
28,71,1,same_transcript_reason,1
30,32,1,same_transcript_reason,1
30,42,1,same_transcript_reason,1
30,43,1,same_transcript_reason,1
30,45,1,same_transcript_reason,1
30,51,1,same_transcript_reason,1
30,58,1,same_transcript_reason,1
30,69,1,same_transcript_reason,1
30,70,1,same_transcript_reason,1
30,71,1,same_transcript_reason,1
32,42,1,same_transcript_reason,1
32,43,1,same_transcript_reason,1
32,45,1,same_transcript_reason,1
32,51,1,same_transcript_reason,1
32,58,1,same_transcript_reason,1
32,69,1,same_transcript_reason,1
32,70,1,same_transcript_reason,1
32,71,1,same_transcript_reason,1
42,43,1,same_transcript_reason,1
42,45,1,same_transcript_reason,1
42,51,1,same_transcript_reason,1
42,58,1,same_transcript_reason,1
42,69,1,same_transcript_reason,1
42,70,1,same_transcript_reason,1
42,71,1,same_transcript_reason,1
43,45,1,same_transcript_reason,1
43,51,1,same_transcript_reason,1
43,58,1,same_transcript_reason,1
43,69,1,same_transcript_reason,1
43,70,1,same_transcript_reason,1
43,71,1,same_transcript_reason,1
45,51,1,same_transcript_reason,1
45,58,1,same_transcript_reason,1
45,69,1,same_transcript_reason,1
45,70,1,same_transcript_reason,1
45,71,1,same_transcript_reason,1
51,58,1,same_transcript_reason,1
51,69,1,same_transcript_reason,1
51,70,1,same_transcript_reason,1
51,71,1,same_transcript_reason,1
58,69,1,same_transcript_reason,1
58,70,1,same_transcript_reason,1
58,71,1,same_transcript_reason,1
69,70,1,same_transcript_reason,1
69,71,1,same_transcript_reason,1
70,71,1,same_transcript_reason,1
46,47,1,same_transcript_reason,1
46,53,1,same_transcript_reason,1
46,54,1,same_transcript_reason,1
46,74,1,same_transcript_reason,1
46,77,1,same_transcript_reason,1
46,80,1,same_transcript_reason,1
46,83,1,same_transcript_reason,1
46,86,1,same_transcript_reason,1
47,53,1,same_transcript_reason,1
47,54,1,same_transcript_reason,1
47,74,1,same_transcript_reason,1
47,77,1,same_transcript_reason,1
47,80,1,same_transcript_reason,1
47,83,1,same_transcript_reason,1
47,86,1,same_transcript_reason,1
53,74,1,same_transcript_reason,1
53,77,1,same_transcript_reason,1
53,80,1,same_transcript_reason,1
53,83,1,same_transcript_reason,1
53,86,1,same_transcript_reason,1
54,74,1,same_transcript_reason,1
54,77,1,same_transcript_reason,1
54,80,1,same_transcript_reason,1
54,83,1,same_transcript_reason,1
54,86,1,same_transcript_reason,1
74,77,1,same_transcript_reason,1
74,80,1,same_transcript_reason,1
74,83,1,same_transcript_reason,1
74,86,1,same_transcript_reason,1
77,80,1,same_transcript_reason,1
77,83,1,same_transcript_reason,1
77,86,1,same_transcript_reason,1
80,83,1,same_transcript_reason,1
80,86,1,same_transcript_reason,1
83,86,1,same_transcript_reason,1
